date,tmax_f,source
2022-07-15,84.80,open_meteo_gfs_seamless_historical_forecast
2022-07-16,82.70,open_meteo_gfs_seamless_historical_forecast
2022-07-17,84.00,open_meteo_gfs_seamless_historical_forecast
2022-07-18,81.60,open_meteo_gfs_seamless_historical_forecast
2022-07-19,92.00,open_meteo_gfs_seamless_historical_forecast
2022-07-20,94.20,open_meteo_gfs_seamless_historical_forecast
2022-07-21,93.20,open_meteo_gfs_seamless_historical_forecast
2022-07-22,95.90,open_meteo_gfs_seamless_historical_forecast
2022-07-23,97.50,open_meteo_gfs_seamless_historical_forecast
2022-07-24,98.50,open_meteo_gfs_seamless_historical_forecast
2022-07-25,89.60,open_meteo_gfs_seamless_historical_forecast
2022-07-26,82.50,open_meteo_gfs_seamless_historical_forecast
2022-07-27,85.90,open_meteo_gfs_seamless_historical_forecast
2022-07-28,88.00,open_meteo_gfs_seamless_historical_forecast
2022-07-29,88.40,open_meteo_gfs_seamless_historical_forecast
2022-07-30,87.90,open_meteo_gfs_seamless_historical_forecast
2022-07-31,86.90,open_meteo_gfs_seamless_historical_forecast
2022-08-01,75.60,open_meteo_gfs_seamless_historical_forecast
2022-08-02,91.80,open_meteo_gfs_seamless_historical_forecast
2022-08-03,91.60,open_meteo_gfs_seamless_historical_forecast
2022-08-04,94.00,open_meteo_gfs_seamless_historical_forecast
2022-08-05,91.10,open_meteo_gfs_seamless_historical_forecast
2022-08-06,93.90,open_meteo_gfs_seamless_historical_forecast
2022-08-07,91.00,open_meteo_gfs_seamless_historical_forecast
2022-08-08,94.40,open_meteo_gfs_seamless_historical_forecast
2022-08-09,96.80,open_meteo_gfs_seamless_historical_forecast
2022-08-10,85.10,open_meteo_gfs_seamless_historical_forecast
2022-08-11,89.90,open_meteo_gfs_seamless_historical_forecast
2022-08-12,84.20,open_meteo_gfs_seamless_historical_forecast
2022-08-13,79.20,open_meteo_gfs_seamless_historical_forecast
2022-08-14,81.50,open_meteo_gfs_seamless_historical_forecast
2022-08-15,82.50,open_meteo_gfs_seamless_historical_forecast
2022-08-16,83.30,open_meteo_gfs_seamless_historical_forecast
2022-08-17,79.40,open_meteo_gfs_seamless_historical_forecast
2022-08-18,86.80,open_meteo_gfs_seamless_historical_forecast
2022-08-19,89.30,open_meteo_gfs_seamless_historical_forecast
2022-08-20,89.60,open_meteo_gfs_seamless_historical_forecast
2022-08-21,82.30,open_meteo_gfs_seamless_historical_forecast
2022-08-22,77.90,open_meteo_gfs_seamless_historical_forecast
2022-08-23,86.10,open_meteo_gfs_seamless_historical_forecast
2022-08-24,90.70,open_meteo_gfs_seamless_historical_forecast
2022-08-25,91.30,open_meteo_gfs_seamless_historical_forecast
2022-08-26,85.70,open_meteo_gfs_seamless_historical_forecast
2022-08-27,87.50,open_meteo_gfs_seamless_historical_forecast
2022-08-28,79.60,open_meteo_gfs_seamless_historical_forecast
2022-08-29,86.70,open_meteo_gfs_seamless_historical_forecast
2022-08-30,88.20,open_meteo_gfs_seamless_historical_forecast
2022-08-31,83.90,open_meteo_gfs_seamless_historical_forecast
2022-09-01,86.00,open_meteo_gfs_seamless_historical_forecast
2022-09-02,77.80,open_meteo_gfs_seamless_historical_forecast
2022-09-03,81.70,open_meteo_gfs_seamless_historical_forecast
2022-09-04,88.70,open_meteo_gfs_seamless_historical_forecast
2022-09-05,85.40,open_meteo_gfs_seamless_historical_forecast
2022-09-06,74.10,open_meteo_gfs_seamless_historical_forecast
2022-09-07,72.50,open_meteo_gfs_seamless_historical_forecast
2022-09-08,77.10,open_meteo_gfs_seamless_historical_forecast
2022-09-09,79.70,open_meteo_gfs_seamless_historical_forecast
2022-09-10,85.70,open_meteo_gfs_seamless_historical_forecast
2022-09-11,76.50,open_meteo_gfs_seamless_historical_forecast
2022-09-12,79.80,open_meteo_gfs_seamless_historical_forecast
2022-09-13,83.10,open_meteo_gfs_seamless_historical_forecast
2022-09-14,81.10,open_meteo_gfs_seamless_historical_forecast
2022-09-15,74.90,open_meteo_gfs_seamless_historical_forecast
2022-09-16,76.80,open_meteo_gfs_seamless_historical_forecast
2022-09-17,74.90,open_meteo_gfs_seamless_historical_forecast
2022-09-18,84.50,open_meteo_gfs_seamless_historical_forecast
2022-09-19,85.80,open_meteo_gfs_seamless_historical_forecast
2022-09-20,78.30,open_meteo_gfs_seamless_historical_forecast
2022-09-21,81.60,open_meteo_gfs_seamless_historical_forecast
2022-09-22,75.80,open_meteo_gfs_seamless_historical_forecast
2022-09-23,64.00,open_meteo_gfs_seamless_historical_forecast
2022-09-24,70.90,open_meteo_gfs_seamless_historical_forecast
2022-09-25,72.60,open_meteo_gfs_seamless_historical_forecast
2022-09-26,76.50,open_meteo_gfs_seamless_historical_forecast
2022-09-27,69.60,open_meteo_gfs_seamless_historical_forecast
